prompt,A,B,C,D,E,answer,wiki_fact
When did structural engineering originate?,500 B.C.E.,1000 B.C.E.,2700 B.C.E.,4000 B.C.E.,6000 B.C.E.,C,"Structural engineering is a sub-discipline of civil engineering in which structural engineers are trained to design the 'bones and muscles' that create the form and shape of human-made structures. Structural engineers also must understand and calculate the stability, strength, rigidity and earthquake-susceptibility of built structures for buildings and nonbuilding structures. The structural designs are integrated with those of other designers such as architects and building services engineer and often supervise the construction of projects by contractors on site. They can also be involved in the design of machinery, medical equipment, and vehicles where structural integrity affects functioning and safety.  See glossary of structural engineering.
Structural engineering theory is based upon applied physical laws and empirical knowledge of the structural performance of different materials and geometries. Structural engineering design uses a number of relatively simple structural concepts to build complex structural systems. Structural engineers are responsible for making creative and efficient use of funds, structural elements and materials to achieve these goals.

History
Structural engineering dates back to 2700 B.C.E."
Where did Kelsey Hightower grow up?,"San Francisco, California","Long Beach, California","Atlanta, Georgia","New York City, New York","Chicago, Illinois",B,"Kelsey Hightower (born February 27, 1981) is an American software engineer, developer advocate, and speaker known for his work with Kubernetes, open-source software, and cloud computing.

Early life and education
Hightower grew up in Long Beach, California, then moved to Atlanta, Georgia with his mother as he was beginning high school. After high school he enrolled at Clayton State University, but found the technology courses to be lacking and didn't continue. He then began courses to earn his CompTIA A+ information technology (IT) certification.

Career
When Hightower was 19 years old, after earning his CompTIA A+ certification, he got a job with BellSouth installing DSL service. He continued to work with BellSouth for several years, then began his own IT consultancy. He hired several others, and ultimately opened a store in Jonesboro, Georgia. Also in his early career, Hightower briefly worked as a technician for Google, then at Total Systems (now called TSYS).Hightower began to give talks at Python meetups in Atlanta, where he was noticed by James Turnbull for how he and his colleagues were using Puppet, Python, and their own code to manage and automate deploys. In 2013, Puppet, Inc."
What certification did Kelsey Hightower earn?,CompTIA A+,Microsoft Certified Professional,Cisco Certified Network Associate (CCNA),Oracle Certified Professional (OCP),Amazon Web Services (AWS) Certified Solutions Architect,A,"Kelsey Hightower (born February 27, 1981) is an American software engineer, developer advocate, and speaker known for his work with Kubernetes, open-source software, and cloud computing.

Early life and education
Hightower grew up in Long Beach, California, then moved to Atlanta, Georgia with his mother as he was beginning high school. After high school he enrolled at Clayton State University, but found the technology courses to be lacking and didn't continue. He then began courses to earn his CompTIA A+ information technology (IT) certification.

Career
When Hightower was 19 years old, after earning his CompTIA A+ certification, he got a job with BellSouth installing DSL service. He continued to work with BellSouth for several years, then began his own IT consultancy. He hired several others, and ultimately opened a store in Jonesboro, Georgia. Also in his early career, Hightower briefly worked as a technician for Google, then at Total Systems (now called TSYS).Hightower began to give talks at Python meetups in Atlanta, where he was noticed by James Turnbull for how he and his colleagues were using Puppet, Python, and their own code to manage and automate deploys. In 2013, Puppet, Inc."
Where did Kelsey Hightower work as a technician?,Google,Microsoft,Apple,Facebook,Amazon,A,"Kelsey Hightower (born February 27, 1981) is an American software engineer, developer advocate, and speaker known for his work with Kubernetes, open-source software, and cloud computing.

Early life and education
Hightower grew up in Long Beach, California, then moved to Atlanta, Georgia with his mother as he was beginning high school. After high school he enrolled at Clayton State University, but found the technology courses to be lacking and didn't continue. He then began courses to earn his CompTIA A+ information technology (IT) certification.

Career
When Hightower was 19 years old, after earning his CompTIA A+ certification, he got a job with BellSouth installing DSL service. He continued to work with BellSouth for several years, then began his own IT consultancy. He hired several others, and ultimately opened a store in Jonesboro, Georgia. Also in his early career, Hightower briefly worked as a technician for Google, then at Total Systems (now called TSYS).Hightower began to give talks at Python meetups in Atlanta, where he was noticed by James Turnbull for how he and his colleagues were using Puppet, Python, and their own code to manage and automate deploys. In 2013, Puppet, Inc."
"Who noticed Kelsey Hightower for his use of Puppet, Python, and their own code?",James Turner,Mark Zuckerberg,Larry Page,Satya Nadella,Tim Cook,A,"Kelsey Hightower (born February 27, 1981) is an American software engineer, developer advocate, and speaker known for his work with Kubernetes, open-source software, and cloud computing.

Early life and education
Hightower grew up in Long Beach, California, then moved to Atlanta, Georgia with his mother as he was beginning high school. After high school he enrolled at Clayton State University, but found the technology courses to be lacking and didn't continue. He then began courses to earn his CompTIA A+ information technology (IT) certification.

Career
When Hightower was 19 years old, after earning his CompTIA A+ certification, he got a job with BellSouth installing DSL service. He continued to work with BellSouth for several years, then began his own IT consultancy. He hired several others, and ultimately opened a store in Jonesboro, Georgia. Also in his early career, Hightower briefly worked as a technician for Google, then at Total Systems (now called TSYS).Hightower began to give talks at Python meetups in Atlanta, where he was noticed by James Turnbull for how he and his colleagues were using Puppet, Python, and their own code to manage and automate deploys. In 2013, Puppet, Inc."
"Which company did Puppet, Inc. acquire in 2013?",Red Hat,Cloudera,VMware,Ansible,Puppet Labs,E,"Kelsey Hightower (born February 27, 1981) is an American software engineer, developer advocate, and speaker known for his work with Kubernetes, open-source software, and cloud computing.

Early life and education
Hightower grew up in Long Beach, California, then moved to Atlanta, Georgia with his mother as he was beginning high school. After high school he enrolled at Clayton State University, but found the technology courses to be lacking and didn't continue. He then began courses to earn his CompTIA A+ information technology (IT) certification.

Career
When Hightower was 19 years old, after earning his CompTIA A+ certification, he got a job with BellSouth installing DSL service. He continued to work with BellSouth for several years, then began his own IT consultancy. He hired several others, and ultimately opened a store in Jonesboro, Georgia. Also in his early career, Hightower briefly worked as a technician for Google, then at Total Systems (now called TSYS).Hightower began to give talks at Python meetups in Atlanta, where he was noticed by James Turnbull for how he and his colleagues were using Puppet, Python, and their own code to manage and automate deploys. In 2013, Puppet, Inc."
What is the purpose of the CHKDSK command?,To create a backup of the file system,To scan and fix logical file system errors,To compress files and folders,To encrypt files and folders,To defragment the hard drive,B,"In computing, CHKDSK (short for ""check disk"") is a system tool and command in DOS, Digital Research FlexOS, IBM/Toshiba 4690 OS, IBM OS/2, Microsoft Windows and related operating systems. It verifies the file system integrity of a volume and attempts to fix logical file system errors. It is similar to the fsck command in Unix and similar to Microsoft ScanDisk, which co-existed with CHKDSK in Windows 9x and MS-DOS 6.x.

Implementations
An early implementation of a 'CheckDisk' was the CHECKDSK that was a part of Digital Equipment Corporation hardware's diagnostics, running on early 1970s TENEX and TOPS-20.

SCP 86-DOS
The CHKDSK command was first implemented in 1980 by Tim Paterson and included in Seattle Computer Products 86-DOS.

MS-DOS / IBM PC DOS
The command is available in MS-DOS versions 1 and later.CHKDSK is implemented as an external command. MS-DOS versions 2.x - 4.x use chkdsk.com as the executable file. MS-DOS versions 5.x and later use chkdsk.exe as the executable file.CHKDSK can also show the memory usage, this was used before the command MEM.EXE was introduced in MS-DOS 4.0 to show the memory usage. In DR DOS the parameter /A limited the output to only show the memory usage.

MS-DOS 5.0 bug
CHKDSK and UNDELETE in MS-DOS 5.0 have a bug which can corrupt data: If the file allocation table of a disk uses 256 sectors, running CHKDSK /F can cause data loss and running UNDELETE can cause unpredictable results. This normally affects disks with a capacity of approximately a multiple of 128 MB."
Who first implemented the CHKDSK command?,Digital Equipment Corporation,IBM,Microsoft,Seattle Computer Products,Tim Paterson,E,"In computing, CHKDSK (short for ""check disk"") is a system tool and command in DOS, Digital Research FlexOS, IBM/Toshiba 4690 OS, IBM OS/2, Microsoft Windows and related operating systems. It verifies the file system integrity of a volume and attempts to fix logical file system errors. It is similar to the fsck command in Unix and similar to Microsoft ScanDisk, which co-existed with CHKDSK in Windows 9x and MS-DOS 6.x.

Implementations
An early implementation of a 'CheckDisk' was the CHECKDSK that was a part of Digital Equipment Corporation hardware's diagnostics, running on early 1970s TENEX and TOPS-20.

SCP 86-DOS
The CHKDSK command was first implemented in 1980 by Tim Paterson and included in Seattle Computer Products 86-DOS.

MS-DOS / IBM PC DOS
The command is available in MS-DOS versions 1 and later.CHKDSK is implemented as an external command. MS-DOS versions 2.x - 4.x use chkdsk.com as the executable file. MS-DOS versions 5.x and later use chkdsk.exe as the executable file.CHKDSK can also show the memory usage, this was used before the command MEM.EXE was introduced in MS-DOS 4.0 to show the memory usage. In DR DOS the parameter /A limited the output to only show the memory usage.

MS-DOS 5.0 bug
CHKDSK and UNDELETE in MS-DOS 5.0 have a bug which can corrupt data: If the file allocation table of a disk uses 256 sectors, running CHKDSK /F can cause data loss and running UNDELETE can cause unpredictable results. This normally affects disks with a capacity of approximately a multiple of 128 MB."
Which operating systems include the CHKDSK command?,Unix and Linux,Windows 9x and MS-DOS 6.x,MacOS,iOS and Android,Windows and related systems,E,"In computing, CHKDSK (short for ""check disk"") is a system tool and command in DOS, Digital Research FlexOS, IBM/Toshiba 4690 OS, IBM OS/2, Microsoft Windows and related operating systems. It verifies the file system integrity of a volume and attempts to fix logical file system errors. It is similar to the fsck command in Unix and similar to Microsoft ScanDisk, which co-existed with CHKDSK in Windows 9x and MS-DOS 6.x.

Implementations
An early implementation of a 'CheckDisk' was the CHECKDSK that was a part of Digital Equipment Corporation hardware's diagnostics, running on early 1970s TENEX and TOPS-20.

SCP 86-DOS
The CHKDSK command was first implemented in 1980 by Tim Paterson and included in Seattle Computer Products 86-DOS.

MS-DOS / IBM PC DOS
The command is available in MS-DOS versions 1 and later.CHKDSK is implemented as an external command. MS-DOS versions 2.x - 4.x use chkdsk.com as the executable file. MS-DOS versions 5.x and later use chkdsk.exe as the executable file.CHKDSK can also show the memory usage, this was used before the command MEM.EXE was introduced in MS-DOS 4.0 to show the memory usage. In DR DOS the parameter /A limited the output to only show the memory usage.

MS-DOS 5.0 bug
CHKDSK and UNDELETE in MS-DOS 5.0 have a bug which can corrupt data: If the file allocation table of a disk uses 256 sectors, running CHKDSK /F can cause data loss and running UNDELETE can cause unpredictable results. This normally affects disks with a capacity of approximately a multiple of 128 MB."
What was the early implementation of CHKDSK?,Digital Research FlexOS,TENEX and TOPS-20,IBM/Toshiba 4690 OS,Seattle Computer Products 86-DOS,Microsoft Windows,D,"In computing, CHKDSK (short for ""check disk"") is a system tool and command in DOS, Digital Research FlexOS, IBM/Toshiba 4690 OS, IBM OS/2, Microsoft Windows and related operating systems. It verifies the file system integrity of a volume and attempts to fix logical file system errors. It is similar to the fsck command in Unix and similar to Microsoft ScanDisk, which co-existed with CHKDSK in Windows 9x and MS-DOS 6.x.

Implementations
An early implementation of a 'CheckDisk' was the CHECKDSK that was a part of Digital Equipment Corporation hardware's diagnostics, running on early 1970s TENEX and TOPS-20.

SCP 86-DOS
The CHKDSK command was first implemented in 1980 by Tim Paterson and included in Seattle Computer Products 86-DOS.

MS-DOS / IBM PC DOS
The command is available in MS-DOS versions 1 and later.CHKDSK is implemented as an external command. MS-DOS versions 2.x - 4.x use chkdsk.com as the executable file. MS-DOS versions 5.x and later use chkdsk.exe as the executable file.CHKDSK can also show the memory usage, this was used before the command MEM.EXE was introduced in MS-DOS 4.0 to show the memory usage. In DR DOS the parameter /A limited the output to only show the memory usage.

MS-DOS 5.0 bug
CHKDSK and UNDELETE in MS-DOS 5.0 have a bug which can corrupt data: If the file allocation table of a disk uses 256 sectors, running CHKDSK /F can cause data loss and running UNDELETE can cause unpredictable results. This normally affects disks with a capacity of approximately a multiple of 128 MB."
Which version of MS-DOS introduced the bug in CHKDSK?,MS-DOS 1.0,MS-DOS 2.0,MS-DOS 3.0,MS-DOS 4.0,MS-DOS 5.0,E,"In computing, CHKDSK (short for ""check disk"") is a system tool and command in DOS, Digital Research FlexOS, IBM/Toshiba 4690 OS, IBM OS/2, Microsoft Windows and related operating systems. It verifies the file system integrity of a volume and attempts to fix logical file system errors. It is similar to the fsck command in Unix and similar to Microsoft ScanDisk, which co-existed with CHKDSK in Windows 9x and MS-DOS 6.x.

Implementations
An early implementation of a 'CheckDisk' was the CHECKDSK that was a part of Digital Equipment Corporation hardware's diagnostics, running on early 1970s TENEX and TOPS-20.

SCP 86-DOS
The CHKDSK command was first implemented in 1980 by Tim Paterson and included in Seattle Computer Products 86-DOS.

MS-DOS / IBM PC DOS
The command is available in MS-DOS versions 1 and later.CHKDSK is implemented as an external command. MS-DOS versions 2.x - 4.x use chkdsk.com as the executable file. MS-DOS versions 5.x and later use chkdsk.exe as the executable file.CHKDSK can also show the memory usage, this was used before the command MEM.EXE was introduced in MS-DOS 4.0 to show the memory usage. In DR DOS the parameter /A limited the output to only show the memory usage.

MS-DOS 5.0 bug
CHKDSK and UNDELETE in MS-DOS 5.0 have a bug which can corrupt data: If the file allocation table of a disk uses 256 sectors, running CHKDSK /F can cause data loss and running UNDELETE can cause unpredictable results. This normally affects disks with a capacity of approximately a multiple of 128 MB."
What is data mining?,The extraction of patterns and knowledge from large amounts of data,The extraction of data itself from a large dataset,The process of collecting and storing large-scale data,The application of computer decision support system,"The analysis step of the ""knowledge discovery in databases"" process",A,"Data mining is the process of extracting and discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems. Data mining is an interdisciplinary subfield of computer science and statistics with an overall goal of extracting information (with intelligent methods) from a data set and transforming the information into a comprehensible structure for further use. Data mining is the analysis step of the ""knowledge discovery in databases"" process, or KDD. Aside from the raw analysis step, it also involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexity considerations, post-processing of discovered structures, visualization, and online updating.The term ""data mining"" is a misnomer because the goal is the extraction of patterns and knowledge from large amounts of data, not the extraction (mining) of data itself. It also is a buzzword and is frequently applied to any form of large-scale data or information processing (collection, extraction, warehousing, analysis, and statistics) as well as any application of computer decision support system, including artificial intelligence (e.g., machine learning) and business intelligence. The book Data Mining: Practical Machine Learning Tools and Techniques with Java (which covers mostly machine learning material) was originally to be named Practical Machine Learning, and the term data mining was only added for marketing reasons. Often the more general terms (large scale) data analysis and analytics—or, when referring to actual methods, artificial intelligence and machine learning—are more appropriate.
The actual data mining task is the semi-automatic or automatic analysis of large quantities of data to extract previously unknown, interesting patterns such as groups of data records (cluster analysis), unusual records (anomaly detection), and dependencies (association rule mining, sequential pattern mining)."
What are the main fields that data mining intersects?,Artificial intelligence and machine learning,Computer science and statistics,Database systems and data management,Complexity considerations and visualization,Model and inference considerations and interestingness metrics,B,"Data mining is the process of extracting and discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems. Data mining is an interdisciplinary subfield of computer science and statistics with an overall goal of extracting information (with intelligent methods) from a data set and transforming the information into a comprehensible structure for further use. Data mining is the analysis step of the ""knowledge discovery in databases"" process, or KDD. Aside from the raw analysis step, it also involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexity considerations, post-processing of discovered structures, visualization, and online updating.The term ""data mining"" is a misnomer because the goal is the extraction of patterns and knowledge from large amounts of data, not the extraction (mining) of data itself. It also is a buzzword and is frequently applied to any form of large-scale data or information processing (collection, extraction, warehousing, analysis, and statistics) as well as any application of computer decision support system, including artificial intelligence (e.g., machine learning) and business intelligence. The book Data Mining: Practical Machine Learning Tools and Techniques with Java (which covers mostly machine learning material) was originally to be named Practical Machine Learning, and the term data mining was only added for marketing reasons. Often the more general terms (large scale) data analysis and analytics—or, when referring to actual methods, artificial intelligence and machine learning—are more appropriate.
The actual data mining task is the semi-automatic or automatic analysis of large quantities of data to extract previously unknown, interesting patterns such as groups of data records (cluster analysis), unusual records (anomaly detection), and dependencies (association rule mining, sequential pattern mining)."
What is the goal of data mining?,The extraction of patterns from a data set,The transformation of information into a comprehensible structure,"The analysis step of the ""knowledge discovery in databases"" process",The extraction of data itself from a large dataset,The application of computer decision support system,B,"Data mining is the process of extracting and discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems. Data mining is an interdisciplinary subfield of computer science and statistics with an overall goal of extracting information (with intelligent methods) from a data set and transforming the information into a comprehensible structure for further use. Data mining is the analysis step of the ""knowledge discovery in databases"" process, or KDD. Aside from the raw analysis step, it also involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexity considerations, post-processing of discovered structures, visualization, and online updating.The term ""data mining"" is a misnomer because the goal is the extraction of patterns and knowledge from large amounts of data, not the extraction (mining) of data itself. It also is a buzzword and is frequently applied to any form of large-scale data or information processing (collection, extraction, warehousing, analysis, and statistics) as well as any application of computer decision support system, including artificial intelligence (e.g., machine learning) and business intelligence. The book Data Mining: Practical Machine Learning Tools and Techniques with Java (which covers mostly machine learning material) was originally to be named Practical Machine Learning, and the term data mining was only added for marketing reasons. Often the more general terms (large scale) data analysis and analytics—or, when referring to actual methods, artificial intelligence and machine learning—are more appropriate.
The actual data mining task is the semi-automatic or automatic analysis of large quantities of data to extract previously unknown, interesting patterns such as groups of data records (cluster analysis), unusual records (anomaly detection), and dependencies (association rule mining, sequential pattern mining)."
"What is the book ""Data Mining: Practical Machine Learning Tools and Techniques with Java"" originally named?",Data Mining: Practical Machine Learning Tools and Techniques,Practical Machine Learning,Java: Practical Machine Learning Tools and Techniques,Machine Learning: Practical Tools and Techniques with Java,Data Mining: Practical Tools and Techniques with Java,B,"Data mining is the process of extracting and discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems. Data mining is an interdisciplinary subfield of computer science and statistics with an overall goal of extracting information (with intelligent methods) from a data set and transforming the information into a comprehensible structure for further use. Data mining is the analysis step of the ""knowledge discovery in databases"" process, or KDD. Aside from the raw analysis step, it also involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexity considerations, post-processing of discovered structures, visualization, and online updating.The term ""data mining"" is a misnomer because the goal is the extraction of patterns and knowledge from large amounts of data, not the extraction (mining) of data itself. It also is a buzzword and is frequently applied to any form of large-scale data or information processing (collection, extraction, warehousing, analysis, and statistics) as well as any application of computer decision support system, including artificial intelligence (e.g., machine learning) and business intelligence. The book Data Mining: Practical Machine Learning Tools and Techniques with Java (which covers mostly machine learning material) was originally to be named Practical Machine Learning, and the term data mining was only added for marketing reasons. Often the more general terms (large scale) data analysis and analytics—or, when referring to actual methods, artificial intelligence and machine learning—are more appropriate.
The actual data mining task is the semi-automatic or automatic analysis of large quantities of data to extract previously unknown, interesting patterns such as groups of data records (cluster analysis), unusual records (anomaly detection), and dependencies (association rule mining, sequential pattern mining)."
What are some examples of data mining tasks?,"Cluster analysis, anomaly detection, and association rule mining","Data pre-processing, model and inference considerations, and visualization","Complexity considerations, interestingness metrics, and online updating","Machine learning, business intelligence, and artificial intelligence","Large-scale data analysis, analytics, and statistics",A,"Data mining is the process of extracting and discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems. Data mining is an interdisciplinary subfield of computer science and statistics with an overall goal of extracting information (with intelligent methods) from a data set and transforming the information into a comprehensible structure for further use. Data mining is the analysis step of the ""knowledge discovery in databases"" process, or KDD. Aside from the raw analysis step, it also involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexity considerations, post-processing of discovered structures, visualization, and online updating.The term ""data mining"" is a misnomer because the goal is the extraction of patterns and knowledge from large amounts of data, not the extraction (mining) of data itself. It also is a buzzword and is frequently applied to any form of large-scale data or information processing (collection, extraction, warehousing, analysis, and statistics) as well as any application of computer decision support system, including artificial intelligence (e.g., machine learning) and business intelligence. The book Data Mining: Practical Machine Learning Tools and Techniques with Java (which covers mostly machine learning material) was originally to be named Practical Machine Learning, and the term data mining was only added for marketing reasons. Often the more general terms (large scale) data analysis and analytics—or, when referring to actual methods, artificial intelligence and machine learning—are more appropriate.
The actual data mining task is the semi-automatic or automatic analysis of large quantities of data to extract previously unknown, interesting patterns such as groups of data records (cluster analysis), unusual records (anomaly detection), and dependencies (association rule mining, sequential pattern mining)."
What is homeokinetics?,The study of separate levels in physics,"The study of self-organizing, complex systems",The study of atomic physics,The study of social physics,The study of galactic physics,B,"Homeokinetics is the study of self-organizing, complex systems. Standard physics studies systems at separate levels, such as atomic physics, nuclear physics, biophysics, social physics, and galactic physics. Homeokinetic physics studies the up-down processes that bind these levels. Tools such as mechanics, quantum field theory, and the laws of thermodynamics provide the key relationships. The subject, described as the physics and thermodynamics associated with the up down movement between levels of systems, originated in the late 1970s work of American physicists Harry Soodak and Arthur Iberall. Complex systems are universes, galaxies, social systems, people, or even those that seem as simple as gases. The basic premise is that the entire universe consists of atomistic-like units bound in interactive ensembles to form systems, level by level, in a nested hierarchy."
What are some tools used in homeokinetic physics?,"Mechanics, quantum field theory, and laws of thermodynamics",Separate levels in physics,Atomic physics and biophysics,Social physics and galactic physics,Thermodynamics and quantum mechanics,A,"Homeokinetics is the study of self-organizing, complex systems. Standard physics studies systems at separate levels, such as atomic physics, nuclear physics, biophysics, social physics, and galactic physics. Homeokinetic physics studies the up-down processes that bind these levels. Tools such as mechanics, quantum field theory, and the laws of thermodynamics provide the key relationships. The subject, described as the physics and thermodynamics associated with the up down movement between levels of systems, originated in the late 1970s work of American physicists Harry Soodak and Arthur Iberall. Complex systems are universes, galaxies, social systems, people, or even those that seem as simple as gases. The basic premise is that the entire universe consists of atomistic-like units bound in interactive ensembles to form systems, level by level, in a nested hierarchy."
Who originated the concept of homeokinetics?,Harry Soodak and Arthur Iberall,Physicists from the late 1970s,"Universes, galaxies, social systems, and people",Those that seem as simple as gases,Atomistic-like units bound in interactive ensembles,A,"Homeokinetics is the study of self-organizing, complex systems. Standard physics studies systems at separate levels, such as atomic physics, nuclear physics, biophysics, social physics, and galactic physics. Homeokinetic physics studies the up-down processes that bind these levels. Tools such as mechanics, quantum field theory, and the laws of thermodynamics provide the key relationships. The subject, described as the physics and thermodynamics associated with the up down movement between levels of systems, originated in the late 1970s work of American physicists Harry Soodak and Arthur Iberall. Complex systems are universes, galaxies, social systems, people, or even those that seem as simple as gases. The basic premise is that the entire universe consists of atomistic-like units bound in interactive ensembles to form systems, level by level, in a nested hierarchy."
What are some examples of complex systems?,"Universes, galaxies, social systems, and people",Separate levels in physics,Atomic physics and biophysics,Social physics and galactic physics,Thermodynamics and quantum mechanics,A,"Homeokinetics is the study of self-organizing, complex systems. Standard physics studies systems at separate levels, such as atomic physics, nuclear physics, biophysics, social physics, and galactic physics. Homeokinetic physics studies the up-down processes that bind these levels. Tools such as mechanics, quantum field theory, and the laws of thermodynamics provide the key relationships. The subject, described as the physics and thermodynamics associated with the up down movement between levels of systems, originated in the late 1970s work of American physicists Harry Soodak and Arthur Iberall. Complex systems are universes, galaxies, social systems, people, or even those that seem as simple as gases. The basic premise is that the entire universe consists of atomistic-like units bound in interactive ensembles to form systems, level by level, in a nested hierarchy."
What is the basic premise of homeokinetics?,The entire universe consists of atomistic-like units,Separate levels in physics,Atomic physics and biophysics,Social physics and galactic physics,Thermodynamics and quantum mechanics,A,"Homeokinetics is the study of self-organizing, complex systems. Standard physics studies systems at separate levels, such as atomic physics, nuclear physics, biophysics, social physics, and galactic physics. Homeokinetic physics studies the up-down processes that bind these levels. Tools such as mechanics, quantum field theory, and the laws of thermodynamics provide the key relationships. The subject, described as the physics and thermodynamics associated with the up down movement between levels of systems, originated in the late 1970s work of American physicists Harry Soodak and Arthur Iberall. Complex systems are universes, galaxies, social systems, people, or even those that seem as simple as gases. The basic premise is that the entire universe consists of atomistic-like units bound in interactive ensembles to form systems, level by level, in a nested hierarchy."
What is vacuum engineering?,The field of engineering that deals with the use of air in industrial and scientific applications,The field of engineering that deals with the use of vacuum in industrial and scientific applications,The field of engineering that deals with the use of pressure in industrial and scientific applications,The field of engineering that deals with the use of gas in industrial and scientific applications,The field of engineering that deals with the use of steam in industrial and scientific applications,B,"Vacuum engineering is the field of engineering that deals with the practical use of vacuum in industrial and scientific applications. Vacuum may improve the productivity and performance of processes otherwise carried out at normal air pressure, or may make possible processes that could not be done in the presence of air. Vacuum engineering techniques are widely applied in materials processing such as drying or filtering, chemical processing, application of metal coatings to objects, manufacture of electron devices and incandescent lamps, and in scientific research. 
Vacuum techniques vary depending on the desired vacuum pressure to be achieved. For a ""rough"" vacuum, over 100 Pascals pressure, conventional methods of analysis, materials, pumps and measuring instruments can be used, whereas ultrahigh vacuum systems use specialized equipment to achieve pressures below one-millionth of one Pascal.  At such low pressures, even metals may emit enough gas to cause serious contamination.

Design and mechanism
Vacuum systems usually consist of gauges, vapor jet and pumps, vapor traps and valves along with other extensional piping.  A vessel that is operating under vacuum system may be any of these types such as processing tank, steam simulator, particle accelerator, or any other type of space that has an enclosed chamber to maintain the system in less than atmospheric gas pressure."
How can vacuum improve processes?,By increasing the pressure,By decreasing the pressure,By maintaining normal air pressure,By increasing the temperature,By decreasing the temperature,B,"Vacuum engineering is the field of engineering that deals with the practical use of vacuum in industrial and scientific applications. Vacuum may improve the productivity and performance of processes otherwise carried out at normal air pressure, or may make possible processes that could not be done in the presence of air. Vacuum engineering techniques are widely applied in materials processing such as drying or filtering, chemical processing, application of metal coatings to objects, manufacture of electron devices and incandescent lamps, and in scientific research. 
Vacuum techniques vary depending on the desired vacuum pressure to be achieved. For a ""rough"" vacuum, over 100 Pascals pressure, conventional methods of analysis, materials, pumps and measuring instruments can be used, whereas ultrahigh vacuum systems use specialized equipment to achieve pressures below one-millionth of one Pascal.  At such low pressures, even metals may emit enough gas to cause serious contamination.

Design and mechanism
Vacuum systems usually consist of gauges, vapor jet and pumps, vapor traps and valves along with other extensional piping.  A vessel that is operating under vacuum system may be any of these types such as processing tank, steam simulator, particle accelerator, or any other type of space that has an enclosed chamber to maintain the system in less than atmospheric gas pressure."
What are some applications of vacuum engineering techniques?,Manufacturing of electron devices and incandescent lamps,Chemical processing,Drying and filtering,All of the above,None of the above,D,"Vacuum engineering is the field of engineering that deals with the practical use of vacuum in industrial and scientific applications. Vacuum may improve the productivity and performance of processes otherwise carried out at normal air pressure, or may make possible processes that could not be done in the presence of air. Vacuum engineering techniques are widely applied in materials processing such as drying or filtering, chemical processing, application of metal coatings to objects, manufacture of electron devices and incandescent lamps, and in scientific research. 
Vacuum techniques vary depending on the desired vacuum pressure to be achieved. For a ""rough"" vacuum, over 100 Pascals pressure, conventional methods of analysis, materials, pumps and measuring instruments can be used, whereas ultrahigh vacuum systems use specialized equipment to achieve pressures below one-millionth of one Pascal.  At such low pressures, even metals may emit enough gas to cause serious contamination.

Design and mechanism
Vacuum systems usually consist of gauges, vapor jet and pumps, vapor traps and valves along with other extensional piping.  A vessel that is operating under vacuum system may be any of these types such as processing tank, steam simulator, particle accelerator, or any other type of space that has an enclosed chamber to maintain the system in less than atmospheric gas pressure."
"What pressure range is considered a ""rough"" vacuum?",Below one-millionth of one Pascal,Over 100 Pascals,One Pascal,Atmospheric pressure,None of the above,B,"Vacuum engineering is the field of engineering that deals with the practical use of vacuum in industrial and scientific applications. Vacuum may improve the productivity and performance of processes otherwise carried out at normal air pressure, or may make possible processes that could not be done in the presence of air. Vacuum engineering techniques are widely applied in materials processing such as drying or filtering, chemical processing, application of metal coatings to objects, manufacture of electron devices and incandescent lamps, and in scientific research. 
Vacuum techniques vary depending on the desired vacuum pressure to be achieved. For a ""rough"" vacuum, over 100 Pascals pressure, conventional methods of analysis, materials, pumps and measuring instruments can be used, whereas ultrahigh vacuum systems use specialized equipment to achieve pressures below one-millionth of one Pascal.  At such low pressures, even metals may emit enough gas to cause serious contamination.

Design and mechanism
Vacuum systems usually consist of gauges, vapor jet and pumps, vapor traps and valves along with other extensional piping.  A vessel that is operating under vacuum system may be any of these types such as processing tank, steam simulator, particle accelerator, or any other type of space that has an enclosed chamber to maintain the system in less than atmospheric gas pressure."
